,State Case,Weather,Light_Type,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
579,10581,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
580,10582,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
581,10583,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
582,10584,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
583,10585,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
584,10586,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
585,10587,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
586,10588,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
587,10589,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
588,10590,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
589,10591,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
590,10592,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
591,10593,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
592,10594,Clear,Dark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
593,10595,Clear,Daylight,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
594,10596,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
595,10597,Rain,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
596,10598,Not Reported,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
597,10599,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
598,10600,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
599,10601,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
600,10602,Clear,Dark,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
601,10603,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
602,10604,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
603,10605,Rain,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
604,10606,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
605,10607,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
606,10608,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
607,10609,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
608,10610,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
610,10612,Clear,Daylight,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
611,10613,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
612,10614,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
613,10615,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
614,10616,"Fog, Smog, Smoke",Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
615,10617,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
616,10618,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
617,10619,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
618,10620,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
619,10621,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
620,10622,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
621,10623,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
622,10624,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
623,10625,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
624,10626,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
625,10627,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
626,10628,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
627,10629,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
628,10630,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
629,10631,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
630,10632,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
631,10633,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
632,10634,Clear,Dawn/Dusk,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
633,10635,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
634,10636,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
635,10637,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
636,10638,Rain,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
637,10639,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
638,10640,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
639,10641,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
640,10642,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
641,10643,Clear,Daylight,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
642,10644,Clear,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
643,10645,Clear,Daylight,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
644,10646,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
645,10647,Rain,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
646,10648,Rain,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
647,10649,Rain,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
648,10650,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
649,10651,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
650,10652,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
651,10653,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
652,10654,Clear,Daylight,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
653,10655,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
654,10656,Clear,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
655,10657,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
657,10659,Rain,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
658,10660,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
